,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
7060,System Under Surveillance,/app/1655800/,2022-02-25,3,8,0,8,74.19,Adventure (25),"Action (1), Adventure (25), Indie (23), Early Access (70)",Ink To Pixels,Ink To Pixels,nan,2022-02-27,,0,0,3,2022-02-26
7061,Cepheus Protocol Anthology Season 1,/app/1707120/,2022-05-12,5,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23)",Halcyon Winds,Halcyon Winds,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-05-11,,0,1,5,2022-05-13
7062,Strange Investigations: Becoming Collector's Edition,/app/1709240/,2022-06-17,15,8,0,8,74.19,Casual (4),"Adventure (25), Casual (4)",Big Fish Games,Elephant Games,SDK.BASS,2022-05-19,,2,2,15,2022-06-19
7063,History of Football World Cup,/app/1745040/,2022-05-12,2,8,0,8,74.19,Casual (4),"Action (1), Adventure (25), Casual (4), Simulation (28), Sports (18)",Dejavu Games,Dejavu Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,2022-05-11,,0,0,2,2022-05-27
7064,Whispers of Ancient Stone,/app/1769160/,2022-03-18,4,8,0,8,74.19,Casual (4),Casual (4),Terran Olson,Terran Olson,Engine.Godot,2022-03-18,,0,0,4,2022-03-22
7065,Sword of Elpisia,/app/1796920/,2022-01-07,20,8,0,8,74.19,RPG (3),"Adventure (25), RPG (3), Simulation (28), Strategy (2)",KEMCO,Exe Create Inc.,Engine.Unity; SDK.cURL,2022-01-18,,1,1,20,2022-01-09
7066,Gem Rifts,/app/1801670/,2022-01-28,3,8,0,8,74.19,Indie (23),"Indie (23), Early Access (70)",ButtonSoft,ButtonSoft,Engine.Unity; SDK.cURL,2023-01-25,,0,0,3,2022-12-06
7067,Elemgate,/app/1836740/,2022-07-08,1,8,0,8,74.19,Casual (4),"Adventure (25), Casual (4), Indie (23), Early Access (70)",CWPGames,CWPGames,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2023-03-16,,0,0,1,2022-07-10
7068,HatMania,/app/1839050/,2022-11-15,3,8,0,8,74.19,Indie (23),"Action (1), Indie (23)",Diplopian,Diplopian,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-11-09,,0,0,3,2022-11-16
7069,Love Accident,/app/1840780/,2022-01-07,2,8,0,8,74.19,Indie (23),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Mikołaj Spychał,Mikołaj Spychał,Engine.RenPy,2021-12-04,,0,1,2,2022-01-08
7070,Galactic Racing Online,/app/1841080/,2022-03-08,4,8,0,8,74.19,Early Access (70),"Racing (9), Early Access (70)",Tavern Entertainment,Tavern Entertainment,Engine.Unity; SDK.Photon; SDK.UnityBurst; SDK.cURL,2022-10-20,,0,0,4,2022-10-22
7071,Rambell,/app/1843050/,2022-12-15,6,8,0,8,74.19,Casual (4),"Casual (4), Free to Play (37), Indie (23), Early Access (70)",Venada,Venada,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-04-06,,0,0,6,2023-04-01
7072,月光のソードブレイカー ミナト編,/app/1863520/,2022-01-25,2,8,0,8,74.19,Adventure (25),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",あいあんそぉど,あいあんそぉど,Engine.Unity; SDK.cURL,2022-01-24,,0,0,2,2022-01-26
7073,Super Perils of Baking,/app/1868520/,2022-06-03,5,8,0,8,74.19,Action (1),"Action (1), Casual (4), Indie (23)",Lillymo Games,Lillymo Games,Engine.GameMaker,2022-05-09,,0,0,5,2022-06-05
7074,Running on Empty,/app/1880960/,2022-09-10,4,8,0,8,74.19,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",T.F.A.N.C.S.,T.F.A.N.C.S.,Engine.Unity; SDK.SteamworksNET,2022-09-04,,0,0,4,2022-09-12
7075,Athemore,/app/1890280/,2022-04-10,2,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Indie (23)",Aces Games,Aces Games,Engine.Unity; SDK.cURL,2022-03-30,,0,0,2,2022-04-10
7076,Square Knight,/app/1898570/,2022-04-30,3,8,0,8,74.19,Action (1),"Action (1), Casual (4)",danilomacb,danilomacb,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-03-23,,0,0,3,2022-04-30
7077,Polar Bear Riding A Ninja,/app/1902350/,2022-06-01,2,8,0,8,74.19,Indie (23),"Action (1), Casual (4), Indie (23)",Waily Waily,Waily Waily,Engine.Godot,2022-05-24,,0,0,2,2022-06-01
7078,TumbleWeed,/app/1914770/,2022-05-13,3,8,0,8,74.19,Strategy (2),"Casual (4), Indie (23), Strategy (2)",JustCuzGaming,JustCuzGaming,Engine.Unity; SDK.SteamworksNET,2022-04-22,,0,0,3,2022-05-14
7079,Mindfulness Simulator - ASMR Meditation Game,/app/1916690/,2022-06-21,3,8,0,8,74.19,Simulation (28),"Adventure (25), Casual (4), Simulation (28)",Enlightment Institute,ASMR Game Labs,Engine.Unity; SDK.UnityBurst; SDK.cURL,2022-07-01,,0,0,3,2022-09-13
7080,Space MOLMAE,/app/1926360/,2022-06-05,3,8,0,8,74.19,Action (1),"Action (1), Casual (4), Indie (23)",Magoojabee Studio,Magoojabee Studio,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-06-04,,0,0,3,2022-06-07
7081,The Detroit After,/app/1926810/,2022-12-16,2,8,0,8,74.19,Indie (23),"Action (1), Indie (23)",Elder Leaf Studio,Emanuele Leoncilli,Engine.GameMaker,2022-06-23,,0,0,2,2022-12-19
7082,Sheep's Territory,/app/1928390/,2022-03-29,3,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Cubic Curve,Cubic Curve,nan,2022-05-14,,0,0,3,2022-04-05
7083,Vayan,/app/1936940/,2022-11-30,9,8,0,8,74.19,Indie (23),"Action (1), Casual (4), Indie (23), Early Access (70)",FloodLabs,FloodLabs,Engine.Unreal; SDK.CEF; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-12-08,,0,0,9,2022-12-17
7084,[Speer DX],/app/1945800/,2022-06-03,4,8,0,8,74.19,Action (1),"Action (1), Indie (23)",Ohsat Games,Ohsat Games,Engine.Lime_OR_OpenFL,2022-05-11,,0,0,4,2022-06-04
7085,Rocket Mania,/app/1949810/,2022-06-18,3,8,0,8,74.19,Adventure (25),"Adventure (25), Casual (4), Indie (23), Racing (9)",BlindsidedGames,BlindsidedGames,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-06-17,,0,0,3,2022-04-26
7086,Chaos Law,/app/1957150/,2022-04-19,3,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",T3RR0R BUNNY,Raiko Star,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-04-24,,0,0,3,2022-04-19
7087,Ukko & Guará: Stellarbound,/app/1961490/,2022-09-29,3,8,0,8,74.19,Strategy (2),"Adventure (25), Casual (4), Indie (23), Strategy (2)",Maqna Interactive Ltda,Maqna Interactive Ltda,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-09-27,,0,0,3,2023-01-05
7088,Four Course Dungeon,/app/1962600/,2022-05-27,5,8,0,8,74.19,Adventure (25),"Action (1), Adventure (25)",Salty Slimeballs,Salty Slimeballs,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-05-18,,0,0,5,2022-05-28
7089,Lenny Loosejocks in Space,/app/1967390/,2022-11-01,5,8,0,8,74.19,Adventure (25),"Adventure (25), Indie (23)",Ezone PTY LTD,Ezone PTY LTD,nan,2022-05-09,,0,0,5,2022-11-02
7090,Eternal Samurai,/app/1979850/,2022-05-31,2,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Indie (23)",THORSDAYORIGIN,THORSDAYORIGIN,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-09-06,,0,0,2,2022-06-03
7091,BEWBEWBEW,/app/1980260/,2022-06-12,4,8,0,8,74.19,Free to Play (37),"Action (1), Casual (4), Free to Play (37), Indie (23), Early Access (70)",Almusal,Almusal,Engine.GameMaker,2022-05-09,,0,0,4,2022-06-22
7092,EpicRecovery,/app/1995180/,2022-06-15,4,8,0,8,74.19,Action (1),Action (1),UtatoraDeveloper,UtatoraDeveloper,nan,2022-07-02,,0,1,4,2022-09-04
7093,Otaku Engine,/app/2002540/,2022-12-01,5,8,0,8,74.19,Simulation (28),"Casual (4), Indie (23), Simulation (28), Early Access (70)",Jesus E Ruiz,Jesus E Ruiz,nan,2023-03-07,,0,1,5,2022-12-06
7094,Plop Saga,/app/2009840/,2022-06-29,2,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Casual (4)",Simple Touch,Simple Touch,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-05-26,,0,0,2,2022-07-02
7095,LEEN,/app/2018140/,2022-06-17,10,8,0,8,74.19,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Techcast,Techcast,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-06-03,,0,0,10,2022-06-17
7096,Immortelle,/app/2020950/,2022-11-15,2,8,0,8,74.19,Indie (23),Indie (23),MUTEK,MUTEK,Engine.Unity; SDK.OpenXR; SDK.cURL,2023-02-17,,0,0,2,2022-12-09
7097,Wreck the Fed,/app/2026460/,2022-06-24,2,8,0,8,74.19,Action (1),"Action (1), Casual (4), Free to Play (37)",TMA Games,Jonathan Grey,Engine.Love2D; SDK.OpenAL; SDK.SDL,2022-06-06,,0,1,2,2022-06-24
7098,Midnight Zone,/app/2051990/,2022-08-04,2,8,0,8,74.19,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23)",Package Games Studio,Package Games Studio,Engine.Unity; SDK.UnityURP; SDK.cURL,2022-08-03,,0,0,2,2022-08-10
7099,Radii,/app/2063700/,2022-07-29,5,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Indie (23), Early Access (70)",WormyMaple Games,WormyMaple Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-08-29,,0,1,5,2022-08-03
7100,Space Monkeys,/app/2064370/,2022-07-16,3,8,0,8,74.19,Action (1),"Action (1), Indie (23), Strategy (2)",Carter Hastings,Carter Hastings,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-06-28,,0,0,3,2022-07-17
7101,The Empanada Protocol,/app/2065100/,2022-07-29,4,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",Pedro Galilea,Pedro Galilea,Engine.Unity; SDK.UnityURP; SDK.cURL,2022-06-30,,0,1,4,2022-07-30
7102,Chicken Fall Prologue,/app/2065530/,2022-07-22,88,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Indie (23)",BD Games,NightWalker,Engine.Godot,2022-07-02,,0,1,88,2022-07-23
7103,Jelly In The Dark,/app/2075170/,2022-12-21,3,8,0,8,74.19,Adventure (25),Adventure (25),Orata Studio,Orata Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,2022-09-03,,0,0,3,2022-10-25
7104,NYYO,/app/2076200/,2022-07-27,3,8,0,8,74.19,Action (1),"Action (1), Adventure (25), RPG (3)",Amita Innovation,Amita Innovation,Engine.Unity; SDK.UnityBurst,2022-11-18,,0,1,3,2022-07-27
7105,GirlPuzzle,/app/2077020/,2022-08-25,3,8,0,8,74.19,Casual (4),Casual (4),CatGirl_Studio,CatGirl_Studio,Engine.Unity; SDK.UnityBurst; SDK.cURL,2022-08-05,,0,0,3,2022-08-29
7106,Gummy Jump,/app/2078820/,2022-08-02,3,8,0,8,74.19,Strategy (2),"Indie (23), Strategy (2)",The_Screaming_Rooster,The_Screaming_Rooster,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.cURL,2022-07-20,,0,0,3,2022-08-30
7107,European Football Dynasty 23,/app/2080340/,2022-09-22,7,8,0,8,74.19,Sports (18),"Simulation (28), Sports (18), Strategy (2), Early Access (70)",Jandl Software Solutions UG (haftungsbeschränkt),Jandl Software Solutions UG (haftungsbeschränkt),nan,2022-11-28,,0,1,7,2022-09-22
7108,Super Casual Ultimate Fight Fest (Extra Deluxe),/app/2083450/,2022-09-09,7,8,0,8,74.19,Action (1),"Action (1), Free to Play (37)",Shannon,Afterworks Kopi,Engine.Unity; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-08-23,,0,0,7,2022-09-24
7109,Hidden in the Dark,/app/2091890/,2022-08-05,2,8,0,8,74.19,Indie (23),"Adventure (25), Indie (23)",Freenzer Network,Weslley &quot;Blaker&quot; Maciel,Engine.RPGMaker,2022-08-03,,0,0,2,2022-08-23
7110,Tiles II - Multiplayer,/app/2100730/,2022-08-12,7,8,0,8,74.19,Casual (4),"Casual (4), Indie (23), Strategy (2), Early Access (70)",I'm Gogole,I'm Gogole,Engine.Unity; SDK.Discord,2022-08-27,,0,0,7,2022-09-02
7111,Drunk: Relapsed,/app/2101480/,2022-11-04,4,8,0,8,74.19,Action (1),Action (1),Team Tyrant,Team Tyrant,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-11-04,,0,1,4,2022-11-05
7112,Super Ball Mania,/app/2101990/,2022-08-15,5,8,0,8,74.19,Indie (23),"Action (1), Casual (4), Free to Play (37), Indie (23)",Icy Rex,Icy Rex,SDK.NWJS; SDK.NodeJS,2022-07-30,,0,0,5,2022-08-17
7113,Synthalaxy,/app/2105940/,2022-09-10,3,8,0,8,74.19,Action (1),"Action (1), Casual (4), Free to Play (37)",DigiPen Institute of Technology,Teal Nautical Narwhals,SDK.FMOD,2022-12-05,,0,0,3,2022-10-04
7114,Flowers of Satsunai,/app/2107710/,2022-11-18,5,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Minami chan,Minami chan,Engine.Godot,2023-04-10,,0,0,5,2022-11-18
7115,CAPTROON,/app/2112140/,2022-08-23,2,8,0,8,74.19,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Strategy (2)",LEAF TEAM GAMES,LEAF TEAM GAMES,SDK.NWJS; SDK.NodeJS,2022-08-17,,0,0,2,2022-08-23
7116,Interquel幕間折,/app/2115510/,2022-08-26,1,8,0,8,74.19,Indie (23),"Casual (4), Free to Play (37), Indie (23), RPG (3)",MuYou,MuYou,Engine.RenPy,2022-08-18,,0,1,1,2022-08-26
7117,Cosmotica,/app/2117410/,2022-09-02,3,8,0,8,74.19,Action (1),"Action (1), Indie (23)",Marbie Games,Marbie Games,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-09-01,,0,0,3,2022-09-05
7118,锻灵ElementForger,/app/2125580/,2022-09-22,3,8,0,8,74.19,Action (1),"Action (1), Casual (4), Strategy (2), Early Access (70)",奂灵,奂灵,Engine.Unity,2022-08-31,,0,0,3,2022-09-23
7119,Dungeon in a Bottle,/app/2128300/,2022-10-24,5,8,0,8,74.19,Action (1),Action (1),Very Handsome Games,Strange Spaces,nan,2022-09-27,,0,1,5,2022-10-25
7120,Ceaseless Night,/app/2128310/,2022-12-01,5,8,0,8,74.19,Strategy (2),"Action (1), Adventure (25), Indie (23), RPG (3), Strategy (2)",JABDP Studio,JABDP Studio,nan,2022-11-14,,0,0,5,2022-12-04
7121,Quarterstaff,/app/2134060/,2022-12-27,4,8,0,8,74.19,Strategy (2),"Action (1), Adventure (25), Strategy (2), Early Access (70)",Generic Lake Monster LLC,Generic Lake Monster LLC,nan,2023-02-15,,0,1,4,2022-12-28
7122,Super Anime Waifu BBQ Simulator,/app/2134120/,2022-09-22,2,8,0,8,74.19,Indie (23),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Sqwillbert,Sqwillbert,Engine.GameMaker,2022-10-28,,0,0,2,2022-09-27
7123,New Yankee: Karma Tales,/app/2134650/,2022-12-28,36,8,0,8,74.19,Casual (4),"Adventure (25), Casual (4), Strategy (2)",Alawar Entertainment,Yustas Games Studio,Engine.Unity,2022-12-19,,5,11,36,2023-01-02
7124,Input Chaos,/app/2137350/,2022-09-20,4,8,0,8,74.19,Indie (23),"Action (1), Indie (23)",anthony undreiner,anthony undreiner,nan,2023-04-01,,0,0,4,2022-11-07
7125,Cage of Etha,/app/2140000/,2022-09-19,2,8,0,8,74.19,RPG (3),"Free to Play (37), Indie (23), RPG (3), Simulation (28)",ujumiru,ujumiru,Engine.RenPy,2022-09-03,,0,0,2,2022-09-19
7126,A Smooth Game (Unlike... Life) ,/app/2142100/,2022-10-04,2,8,0,8,74.19,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Nameless,Nameless,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-10-28,,0,0,2,2022-10-05
7127,流離之歌,/app/2143620/,2022-11-16,4,8,0,8,74.19,Adventure (25),"Adventure (25), Free to Play (37), Indie (23), RPG (3), Strategy (2)",Lulu Bear Studio,Lulu Bear Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-11-12,,0,1,4,2022-11-16
7128,Ballspell,/app/2145080/,2022-10-04,4,8,0,8,74.19,Indie (23),"Action (1), Casual (4), Indie (23), Strategy (2)",Sokpop Collective,Sokpop Collective,Engine.GameMaker,2022-10-27,,0,1,4,2022-10-30
7129,I commissioned some bees 7,/app/2146600/,2022-09-30,8,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Follow The Fun,Follow The Fun,nan,2022-09-30,,0,2,8,2022-10-01
7130,PHYAKH,/app/2149270/,2022-10-18,7,8,0,8,74.19,Action (1),"Action (1), Adventure (25)",SmilefrogGames,SmilefrogGames,Engine.Unity; SDK.UnityHDRP; SDK.cURL,2022-10-30,,0,0,7,2022-12-04
7131,Running into the Cyberpunk,/app/2150370/,2022-10-03,2,8,0,8,74.19,Free to Play (37),"Action (1), Adventure (25), Casual (4), Free to Play (37)",Must Be Happy,Must Be Happy,Engine.Unity; SDK.UnityBurst; SDK.cURL,2022-09-15,,0,0,2,2022-10-03
7132,SEARCH ALL - KEYS,/app/2156970/,2022-10-04,2,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Laush Studio,Laush Dmitriy Sergeevich,Engine.Unity,2022-09-15,,0,1,2,2022-10-04
7133,Lost Amulets: Mystic Land,/app/2157540/,2022-10-03,5,8,0,8,74.19,Casual (4),Casual (4),MixoGames Ltd.,MixoGames Ltd.,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-09-20,,0,1,5,2022-10-22
7134,Quiz.com,/app/2165340/,2022-10-11,7,8,0,8,74.19,Casual (4),Casual (4),Old Apes,Old Apes,nan,2022-12-05,,0,2,7,2022-10-11
7135,Boo!,/app/2165600/,2022-10-17,6,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Bart Bonte,Bart Bonte,Engine.Adobe_AIR,2022-09-29,,0,0,6,2022-10-18
7136,Step By Step Hero,/app/2171530/,2022-10-24,2,8,0,8,74.19,Adventure (25),"Adventure (25), Indie (23), RPG (3)",PixelSlop,PixelSlop,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2022-09-29,,0,0,2,2022-10-24
7137,Rift Rangers,/app/2172120/,2022-12-08,12,8,0,8,74.19,Action (1),"Action (1), Early Access (70)",Epic Story Interactive,Epic Story Interactive,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-12-08,,0,1,12,2023-01-06
7138,I commissioned some bees 10,/app/2173890/,2022-11-17,6,8,0,8,74.19,Indie (23),"Casual (4), Indie (23)",Follow The Fun,Follow The Fun,nan,2022-11-18,,1,2,6,2022-11-18
7139,BOT.vinnik Chess: Prodigies,/app/2179030/,2022-10-27,2,8,0,8,74.19,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Abyssal Studios,Deep Green Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,2022-10-27,,0,1,2,2022-10-28
7140,Theocracy,/app/2195530/,2022-11-25,4,8,0,8,74.19,Strategy (2),"Indie (23), Strategy (2)",Atlantis Workshop,Marcel Strbak,nan,2022-11-20,,0,0,4,2022-12-14
7141,HellRazor64,/app/2196140/,2022-11-17,3,8,0,8,74.19,Action (1),Action (1),Crucible Studios,Crucible Studios,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-11-14,,0,0,3,2022-12-01
7142,Orbit,/app/2196210/,2022-12-07,5,8,0,8,74.19,Action (1),"Action (1), Indie (23), Early Access (70)",Shadey,Shadey,Engine.GameMaker,2023-03-31,,0,0,5,2022-12-07
7143,Surrealidade - Definitive Edition,/app/2198650/,2022-12-08,2,8,0,8,74.19,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Dimitri Kozma,Dimitri Kozma,nan,2023-03-08,,0,0,2,2022-12-10
7144,One Wheel Guy,/app/2198740/,2022-11-30,19,8,0,8,74.19,Indie (23),"Action (1), Adventure (25), Indie (23), Sports (18)",Drago Software,Drago Software,nan,2022-11-09,,0,1,19,2022-12-13
7145,抵御者 Defender,/app/2215780/,2022-12-02,2,8,0,8,74.19,Action (1),"Action (1), Indie (23)",JiuBuTiLeGame,JiuBuTiLeGame,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-11-16,,0,1,2,2022-12-02
7146,WHERE IS A TOILET!?,/app/2226110/,2022-12-12,2,8,0,8,74.19,Casual (4),Casual (4),UNIC BUILD,STUDIO YORJUL,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2022-11-21,,0,1,2,2022-12-12
7147,Blacklight,/app/2244620/,2022-12-29,8,8,0,8,74.19,Action (1),"Action (1), Indie (23)",Okaemon,Okaemon,nan,2022-12-29,,0,1,8,2023-01-05
7148,Kaichu - A Kaiju Dating Sim,/app/1848590/,2022-09-07,31,60,12,72,74.17,RPG (3),"Indie (23), RPG (3), Simulation (28)",Top Hat Studios Inc.,Squiddershins,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2022-06-14,83.0,3,4,31,2022-09-07
7149,The Last Queen in the Wizard Kingdom,/app/1128960/,2022-03-24,26,40,7,47,74.16,Indie (23),"Indie (23), RPG (3), Simulation (28), Strategy (2)",安格法,安格法,Engine.Unity; SDK.UnityBurst; SDK.UnityEntities,2022-06-17,85.0,0,0,26,2022-03-24
7150,MY WOLF - Desktop Wild Pet,/app/1110890/,2022-06-11,83,152,37,189,74.15,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28), Utilities (57)",3dm_live_wallpapers,3dm_live_wallpapers,Engine.Unity,2022-11-05,80.0,5,11,83,2020-09-15
7151,Again and Again,/app/2135580/,2022-09-15,8,56,11,67,74.15,Indie (23),Indie (23),Perspektik,Perspektik,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2022-10-13,83.0,0,1,8,2022-10-12
7152,Escape First Alchemist: Prologue,/app/2176190/,2022-11-11,9,56,11,67,74.15,Adventure (25),"Adventure (25), Casual (4), Indie (23)",OnSkull Games,OnSkull Games,Engine.Unity; SDK.FMOD; SDK.UnityBurst,2022-11-03,83.0,0,2,9,2022-11-13
7153,Tactics Ogre: Reborn,/app/1451090/,2022-11-11,10677,1913,582,2495,74.14,RPG (3),"RPG (3), Simulation (28)",Square Enix,Square Enix,nan,2023-03-30,76.0,422,697,10677,2022-11-13
7154,Ikai,/app/1315210/,2022-03-29,75,159,39,198,74.14,Adventure (25),"Adventure (25), Indie (23)",PM Studios inc.,Endflame,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-02-09,79.0,0,2,75,2022-03-29
7155,Obsidian Prince,/app/1373260/,2022-05-24,108,105,24,129,74.14,Strategy (2),"Indie (23), RPG (3), Strategy (2)",Unleash the Giraffe,Unleash the Giraffe,Engine.Unity; SDK.UnityURP,2022-05-24,81.0,2,4,108,2022-05-26
7156,Sea Horizon,/app/1611420/,2022-10-20,83,105,24,129,74.14,Indie (23),"Adventure (25), Indie (23), RPG (3)",SOFTSTAR ENTERTAINMENT,45 Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2022-09-29,82.0,5,11,83,2022-10-20
7157,风色幻想4:圣战的终焉,/app/2020510/,2022-08-09,56,44,8,52,74.14,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Phoenix Games,弘煜科技事業股份有限公司,nan,2022-06-16,84.0,3,7,56,2022-08-25
7158,In Woods,/app/2113770/,2022-11-23,35,44,8,52,74.14,Action (1),"Action (1), Indie (23), RPG (3), Early Access (70)",Vantavis Studio,Vantavis Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-11-23,84.0,0,1,35,2023-01-25
7159,MEGA,/app/2122170/,2022-09-02,8,44,8,52,74.14,Indie (23),"Action (1), Adventure (25), Indie (23)",Red Kraken studio,Red Kraken studio,Engine.Unity; SDK.UnityHDRP; SDK.cURL,2022-08-15,84.0,0,1,8,2022-09-14
7160,Serious Sam: Tormental,/app/640340/,2022-04-08,47,162,40,202,74.1,Action (1),"Action (1), Indie (23)",Devolver Digital,Gungrounds (Macanga Games j.d.o.o.),Engine.Unity,2022-04-07,79.0,2,3,47,2022-04-09
7161,Deadwater Saloon Prologue,/app/1802420/,2022-08-04,111,112,26,138,74.1,Simulation (28),Simulation (28),CreativeForge Games,Creative Storm Entertainment,Engine.Unity; SDK.cURL,2022-09-17,81.0,0,1,111,2022-08-04
7162,SPACE ACCIDENT,/app/1852830/,2022-02-10,378,101,23,124,74.1,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Whale Rock Games,Whale Rock Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2023-03-16,80.0,0,2,378,2022-02-11
