ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24247,2033: Das Erschwachen der Macht,2021-09-01,4,2,Indie (23),"Adventure (25), Indie (23)",Zweitausendeins GmbH & Co. KG,LOT,Engine.Unity; SDK.UnityURP,3,2021-09-01
24248,George,2021-10-28,4,2,Action (1),"Action (1), Adventure (25), Indie (23)",Mug Ugly Games,Mug Ugly Games,Engine.Unity,2,2021-10-29
24249,Apocalyptic Adventure: Episode 1,2021-10-21,4,2,Adventure (25),"Action (1), Adventure (25), Indie (23), Strategy (2), Early Access (70)",Ascenzio LLC,Ascenzio LLC,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2,2021-10-22
24250,Drowned Helicopter,2021-09-10,4,2,Indie (23),Indie (23),ImperiumGame,ImperiumGame,Engine.GameMaker,1,2021-09-12
24251,Core Alpha,2021-09-28,4,2,Action (1),"Action (1), Indie (23)",Legion Infinity Interactive,Legion Infinity Interactive,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,3,2021-09-28
24252,Evil Soul,2021-09-09,4,2,RPG (3),"Adventure (25), Indie (23), RPG (3), Early Access (70)",BluePrinting,BluePrinting,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,3,2021-09-10
24253,Danplace,2021-09-13,4,2,Adventure (25),"Action (1), Adventure (25), Casual (4), Indie (23)",Terafox Studio,Terafox Studio,Engine.BlenderGameEngine; SDK.OpenAL; SDK.SDL,3,2021-09-13
24255,Mary Knots - Garden Wedding,2021-09-15,4,2,Casual (4),Casual (4),HH-Games,Mad Data,Engine.Adobe_AIR,4,2022-10-28
24256,Starry Moon Island,2021-10-28,4,2,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Strategy (2)",TigerQiuQiu,TigerQiuQiu,Engine.GameMaker,2,2021-11-01
24257,Soccer Boss,2021-10-21,4,2,Simulation (28),"Simulation (28), Sports (18), Strategy (2), Early Access (70)",Alternative Software Ltd,Alternative Software Ltd,Engine.Unity,4,2021-12-23
